"page","query","clicks","impressions","ctr","position"
"https://dave-blake.com/model-portfolios/tag/Byron+Bay","byron bay photography",0,1,0,100
"https://dave-blake.com/model-tests","$140usd to aud",0,3,0,41.333333333333336
"https://dave-blake.com/model-tests","commercial model portfolio",0,1,0,97
"https://dave-blake.com/model-tests","cost of portfolio shoot",0,1,0,78
"https://dave-blake.com/model-tests","fashion model portfolio photography",0,111,0,78.261261261261268
"https://dave-blake.com/model-tests","fashion model test",0,8,0,34.875
"https://dave-blake.com/model-tests","fashion photographer nyc",0,1,0,90
"https://dave-blake.com/model-tests","fashion photographer portfolio",0,8,0,86.875
"https://dave-blake.com/model-tests","fashion photographer rates",0,5,0,80.8
"https://dave-blake.com/model-tests","fashion photographers in nyc",0,1,0,101
"https://dave-blake.com/model-tests","fashion photographers model portfolio",0,11,0,85.63636363636364
"https://dave-blake.com/model-tests","fashion photography packages",0,2,0,36.5
"https://dave-blake.com/model-tests","fashion photography portfolios",0,1,0,96
"https://dave-blake.com/model-tests","fashion test",0,1,0,99
"https://dave-blake.com/model-tests","hannah claverie",0,1,0,47
"https://dave-blake.com/model-tests","lacey nelson model",0,1,0,55
"https://dave-blake.com/model-tests","model and photographer",0,1,0,99
"https://dave-blake.com/model-tests","model headshots nyc",0,2,0,39.5
"https://dave-blake.com/model-tests","model photographers nyc",0,1,0,7
"https://dave-blake.com/model-tests","model portfolio brisbane",0,8,0,52.875
"https://dave-blake.com/model-tests","model portfolio photographer",0,18,0,93.222222222222229
"https://dave-blake.com/model-tests","model portfolio photographer nyc",0,1,0,14
"https://dave-blake.com/model-tests","model portfolio photographers",0,1,0,59
"https://dave-blake.com/model-tests","model portfolio photography nyc",0,24,0,28.291666666666668
"https://dave-blake.com/model-tests","model portfolio photography prices",0,99,0,52.333333333333336
"https://dave-blake.com/model-tests","model portfolio price",0,2,0,63.5
"https://dave-blake.com/model-tests","model portfolio pricing",0,9,0,81.555555555555557
"https://dave-blake.com/model-tests","model test photoshoot",0,5,0,41.8
"https://dave-blake.com/model-tests","model test shoot",0,42,0,34.047619047619051
"https://dave-blake.com/model-tests","model test shoots",0,6,0,37.166666666666664
"https://dave-blake.com/model-tests","model test shots",0,1,0,41
"https://dave-blake.com/model-tests","model with photographer",0,1,0,99
"https://dave-blake.com/model-tests","modeling photographers in nyc",0,8,0,37.875
"https://dave-blake.com/model-tests","modeling portfolio cost",0,1,0,85
"https://dave-blake.com/model-tests","modeling portfolio photographers nyc",0,25,0,26.28
"https://dave-blake.com/model-tests","modeling portfolio prices",0,4,0,80.5
"https://dave-blake.com/model-tests","modeling test shoot",0,11,0,50.81818181818182
"https://dave-blake.com/model-tests","modelling photographer",0,20,0,93.2
"https://dave-blake.com/model-tests","modelling portfolio cost",0,3,0,93
"https://dave-blake.com/model-tests","mollye rogel",0,2,0,45.5
"https://dave-blake.com/model-tests","nyc model photographer",0,2,0,19
"https://dave-blake.com/model-tests","nyc model photographers",0,1,0,61
"https://dave-blake.com/model-tests","photographer for model",0,41,0,74.341463414634148
"https://dave-blake.com/model-tests","photographer for model shoot",0,1,0,76
"https://dave-blake.com/model-tests","photographer for modelling portfolio",0,2,0,88
"https://dave-blake.com/model-tests","photographer portfolio",0,1,0,185
"https://dave-blake.com/model-tests","portfolio packages",0,9,0,57.777777777777779
"https://dave-blake.com/model-tests","portfolio shoot price",0,9,0,49.444444444444443
"https://dave-blake.com/model-tests","portfolio shoots",0,2,0,74
"https://dave-blake.com/model-tests","test photoshoot",0,2,0,52.5
"https://dave-blake.com/model-tests","test shoot",0,6,0,63.5
"https://dave-blake.com/model-tests","test shoot model",0,21,0,43.047619047619051
"https://dave-blake.com/model-tests","test shoot photography",0,3,0,49.666666666666664
"https://dave-blake.com/model-tests","test shoots",0,1,0,74
"https://dave-blake.com/model-tests","test shoots for models",0,4,0,50.5
"https://dave-blake.com/model-tests","what is a test shoot in modeling",0,1,0,79
"https://dave-blake.com/model/2017/9/13/mollye-rogel","mollye rogel",0,4,0,12.5
"https://dave-blake.com/model/2017/9/22/lacey-nelson","lacey hells kitchen",0,1,0,65
"https://dave-blake.com/model/2017/9/22/lacey-nelson","lacey model",0,2,0,1
"https://dave-blake.com/model/2017/9/22/lacey-nelson","nelson lacey",0,3,0,6
"https://dave-blake.com/model/2017/9/24/ana-kondratjeva","anna kondratjeva",0,12,0,1.1666666666666667
"https://dave-blake.com/model/2017/9/27/julia-newbery-ma2l4","julia newberry",0,2,0,7
